scenario_id,ssp,year,path_group,contribution_mean,contribution_mean_abs,n_stable_paths,contribution_share,n_stable_edges
ssp1_2040,ssp1,2040,Hydrogeology_to_RISK,-0.6906311991824693,0.8795035253900189,32,0.40731726865775253,22
ssp1_2040,ssp1,2040,Climate_to_RISK,0.2701229751839034,0.7854582429065304,3,0.36376284677600484,3
ssp1_2040,ssp1,2040,Anthropogenic_to_RISK,-0.005757349971700514,0.2890361799892669,4,0.13385896017220764,4
ssp1_2040,ssp1,2040,Climate_mediated_to_RISK,-0.03479905244084971,0.1477039143271346,16,0.0684049048320846,13
ssp1_2040,ssp1,2040,Anthropogenic_mediated_to_RISK,0.020963416589599947,0.05755725323126277,11,0.026656019561950253,9
ssp1_2060,ssp1,2060,Climate_to_RISK,0.3263471669009627,0.8218534246340985,3,0.4067952826443617,3
ssp1_2060,ssp1,2060,Hydrogeology_to_RISK,-0.5995360277113231,0.8137943977042297,32,0.4028062816382102,22
ssp1_2060,ssp1,2060,Anthropogenic_to_RISK,-0.0053889747979599875,0.239063802715126,4,0.11833013561856578,4
ssp1_2060,ssp1,2060,Climate_mediated_to_RISK,-0.025633267709588226,0.10484625205921523,17,0.05189606742786197,14
ssp1_2060,ssp1,2060,Anthropogenic_mediated_to_RISK,0.01707800409696774,0.04075420539640627,11,0.02017223267100032,9
ssp1_2080,ssp1,2080,Climate_to_RISK,0.32658934286603597,1.0760653532351359,3,0.3882938060126723,3
ssp1_2080,ssp1,2080,Hydrogeology_to_RISK,-0.6737367853745188,1.011416036189355,56,0.3649653629061681,29
ssp1_2080,ssp1,2080,Anthropogenic_to_RISK,-0.11206230937492129,0.3723928826657063,5,0.13437645706886808,5
ssp1_2080,ssp1,2080,Climate_mediated_to_RISK,-0.09902927554030444,0.23724089786961117,31,0.08560741306157976,19
ssp1_2080,ssp1,2080,Anthropogenic_mediated_to_RISK,0.03799360919670089,0.0741506513652364,22,0.02675696095071177,13
ssp1_2100,ssp1,2100,Climate_to_RISK,0.32229264060617635,1.263908832823504,3,0.4806598284329535,3
ssp1_2100,ssp1,2100,Hydrogeology_to_RISK,-0.6444146329995959,0.871542178556465,56,0.33144424909287074,29
ssp1_2100,ssp1,2100,Anthropogenic_to_RISK,-0.034914527683851206,0.2790141435200388,5,0.10610804108007761,5
ssp1_2100,ssp1,2100,Climate_mediated_to_RISK,-0.04014518441585859,0.15338171131866607,32,0.05833049436207076,20
ssp1_2100,ssp1,2100,Anthropogenic_mediated_to_RISK,0.030016864913254986,0.06168187335604341,22,0.023457387032027432,13
ssp2_2040,ssp2,2040,Hydrogeology_to_RISK,-0.7242976196695068,0.8842906329683712,32,0.3829233581242838,22
ssp2_2040,ssp2,2040,Climate_to_RISK,0.28262095361999084,0.8817043324240197,3,0.3818034153671867,3
ssp2_2040,ssp2,2040,Anthropogenic_to_RISK,-0.0401692326571273,0.3084812705621637,4,0.133581290627936,4
ssp2_2040,ssp2,2040,Climate_mediated_to_RISK,-0.05272921252842391,0.17415261780583302,20,0.07541310825886555,14
ssp2_2040,ssp2,2040,Anthropogenic_mediated_to_RISK,0.02136208101705973,0.06068608931331408,11,0.026278827621727854,9
ssp2_2060,ssp2,2060,Climate_to_RISK,0.2641192921746513,0.9277067609060747,3,0.4257568371104847,3
ssp2_2060,ssp2,2060,Hydrogeology_to_RISK,-0.7350261118148468,0.8515760706454509,32,0.3908178205394037,22
ssp2_2060,ssp2,2060,Anthropogenic_to_RISK,0.011839056335364098,0.24785502378107188,4,0.11374927448400589,4
ssp2_2060,ssp2,2060,Climate_mediated_to_RISK,-0.010962831624387694,0.10436988121134984,17,0.04789896159724143,14
ssp2_2060,ssp2,2060,Anthropogenic_mediated_to_RISK,0.02206346806499585,0.047451425221276995,11,0.021777106268864407,9
ssp2_2080,ssp2,2080,Climate_to_RISK,0.2674298037216439,1.3058563365582538,3,0.508132923153693,3
ssp2_2080,ssp2,2080,Hydrogeology_to_RISK,-0.679387701038893,0.8082041760413288,55,0.3144872364438553,28
ssp2_2080,ssp2,2080,Anthropogenic_to_RISK,0.007565346537679506,0.2811452829638077,5,0.10939884462313429,5
ssp2_2080,ssp2,2080,Climate_mediated_to_RISK,-0.010191132187810086,0.11846995826944268,31,0.04609885828636288,19
ssp2_2080,ssp2,2080,Anthropogenic_mediated_to_RISK,0.03081551366086909,0.056235143602318405,22,0.02188213749295463,13
ssp2_2100,ssp2,2100,Climate_to_RISK,0.22874062201051018,1.207499829481991,3,0.4866392642598112,3
ssp2_2100,ssp2,2100,Hydrogeology_to_RISK,-0.6945131474189135,0.8115409037412727,32,0.3270622973775627,22
ssp2_2100,ssp2,2100,Anthropogenic_to_RISK,0.0484575000840488,0.274415322394668,4,0.11059320037258175,4
ssp2_2100,ssp2,2100,Climate_mediated_to_RISK,-0.0027783908363354245,0.12973272216046905,17,0.052284095551116384,14
ssp2_2100,ssp2,2100,Anthropogenic_mediated_to_RISK,0.02265527255326367,0.05811496847525207,11,0.02342114243892784,9
ssp3_2040,ssp3,2040,Hydrogeology_to_RISK,-0.7268106813974963,0.8405687679118414,32,0.42517553550516557,22
ssp3_2040,ssp3,2040,Climate_to_RISK,0.23003231955788797,0.7100014920586468,3,0.3591321449468395,3
ssp3_2040,ssp3,2040,Anthropogenic_to_RISK,0.0488422986871081,0.25753996242802507,4,0.1302685700675475,4
ssp3_2040,ssp3,2040,Climate_mediated_to_RISK,-0.004629028576752058,0.1113145805952718,20,0.056305014200921835,14
ssp3_2040,ssp3,2040,Anthropogenic_mediated_to_RISK,0.014662853509554387,0.057567515986028696,11,0.02911873527952563,9
ssp3_2060,ssp3,2060,Hydrogeology_to_RISK,-0.7573681314691691,0.892543542294449,31,0.40311090965186724,21
ssp3_2060,ssp3,2060,Climate_to_RISK,0.25697636833143633,0.8726481639077079,3,0.39412530424517717,3
ssp3_2060,ssp3,2060,Anthropogenic_to_RISK,-0.0040686141275450075,0.282198640191082,4,0.12745299826775133,4
ssp3_2060,ssp3,2060,Climate_mediated_to_RISK,-0.02364101527047386,0.1166872124405507,17,0.0527009452454627,14
ssp3_2060,ssp3,2060,Anthropogenic_mediated_to_RISK,0.020898017071438735,0.050061331788801774,11,0.02260984258974155,9
ssp3_2080,ssp3,2080,Climate_to_RISK,0.214057885304334,1.2093851708743557,3,0.45840316382179186,3
ssp3_2080,ssp3,2080,Hydrogeology_to_RISK,-0.7294527657804266,0.9472503521879101,32,0.3590440571222751,22
ssp3_2080,ssp3,2080,Anthropogenic_to_RISK,-0.049368492014051496,0.2912578786555531,4,0.11039785858065555,4
ssp3_2080,ssp3,2080,Climate_mediated_to_RISK,-0.03045215073562678,0.13978849935016427,17,0.05298517950380349,14
ssp3_2080,ssp3,2080,Anthropogenic_mediated_to_RISK,0.01820635576273308,0.05057469557390751,11,0.01916974097147396,9
ssp3_2100,ssp3,2100,Climate_to_RISK,0.18968316043255382,1.1733270390852588,3,0.4691966339077768,3
ssp3_2100,ssp3,2100,Hydrogeology_to_RISK,-0.71310889658336,0.9095099461365567,32,0.3636999668614192,22
ssp3_2100,ssp3,2100,Anthropogenic_to_RISK,-0.06458073325952501,0.2693542587873248,4,0.10771090015130358,4
ssp3_2100,ssp3,2100,Climate_mediated_to_RISK,-0.029084357288121174,0.1194906592843517,21,0.047782598757246365,15
ssp3_2100,ssp3,2100,Anthropogenic_mediated_to_RISK,0.014967125314522408,0.0290330513578722,11,0.011609900322253971,9
ssp4_2040,ssp4,2040,Hydrogeology_to_RISK,-0.757203234067514,0.8860782499038423,32,0.4064019401698207,22
ssp4_2040,ssp4,2040,Climate_to_RISK,0.2427254645728024,0.8150321092758086,3,0.3738164553145676,3
ssp4_2040,ssp4,2040,Anthropogenic_to_RISK,0.0407740017154774,0.2901949931280162,4,0.13309863801260446,4
ssp4_2040,ssp4,2040,Climate_mediated_to_RISK,-0.014194338584750684,0.1266133774262592,17,0.05807153289573414,14
ssp4_2040,ssp4,2040,Anthropogenic_mediated_to_RISK,0.02215988186524929,0.06238151571663024,11,0.028611433607273286,9
ssp4_2060,ssp4,2060,Climate_to_RISK,0.2632418381796635,1.0623271107001888,3,0.42713387829351407,3
ssp4_2060,ssp4,2060,Hydrogeology_to_RISK,-0.7611405853380874,0.9158993824328423,32,0.3682591279133632,22
ssp4_2060,ssp4,2060,Anthropogenic_to_RISK,-0.028619792084345397,0.30399473179148917,4,0.12222831128287076,4
ssp4_2060,ssp4,2060,Climate_mediated_to_RISK,-0.03586637317499579,0.14777999430851976,17,0.059418461100543066,14
ssp4_2060,ssp4,2060,Anthropogenic_mediated_to_RISK,0.0263818491495989,0.057104497935543896,11,0.02296022140970905,9
ssp4_2080,ssp4,2080,Climate_to_RISK,0.2138627041384145,1.2417104040378226,3,0.4822599631061311,3
ssp4_2080,ssp4,2080,Hydrogeology_to_RISK,-0.7218405850297718,0.8641755640819309,55,0.3356316209449088,28
ssp4_2080,ssp4,2080,Anthropogenic_to_RISK,-0.02363547819532911,0.2794717279398969,5,0.10854223719735864,5
ssp4_2080,ssp4,2080,Climate_mediated_to_RISK,-0.020553631835177992,0.1274733235025903,30,0.04950854892531171,18
ssp4_2080,ssp4,2080,Anthropogenic_mediated_to_RISK,0.0317642638759378,0.061942959269087446,22,0.02405762982628981,13
ssp4_2100,ssp4,2100,Climate_to_RISK,0.1404891534875761,1.2737046016784421,3,0.47051071347609974,3
ssp4_2100,ssp4,2100,Hydrogeology_to_RISK,-0.7353752501058813,0.939455477485786,56,0.34703797600195835,29
ssp4_2100,ssp4,2100,Anthropogenic_to_RISK,-0.0098221346449111,0.2963959321941853,5,0.10948964253118641,5
ssp4_2100,ssp4,2100,Climate_mediated_to_RISK,-0.006069911638652649,0.12811505132835938,30,0.04732612579722123,18
ssp4_2100,ssp4,2100,Anthropogenic_mediated_to_RISK,0.037208120378139545,0.06939716168670151,22,0.025635542193534047,13
ssp5_2040,ssp5,2040,Hydrogeology_to_RISK,-0.7324049289646029,0.8665703623278722,32,0.39084673310252804,22
ssp5_2040,ssp5,2040,Climate_to_RISK,0.254261418204277,0.8570892391466272,3,0.38657048943827704,3
ssp5_2040,ssp5,2040,Anthropogenic_to_RISK,0.037547047139260104,0.3033232451134167,4,0.13680700907906315,4
ssp5_2040,ssp5,2040,Climate_mediated_to_RISK,-0.01732870703923396,0.1308562150320815,17,0.05901970154398156,14
ssp5_2040,ssp5,2040,Anthropogenic_mediated_to_RISK,0.02338696524068841,0.05932252355961015,11,0.026756066836150127,9
ssp5_2060,ssp5,2060,Climate_to_RISK,0.26281061194154487,1.1471157149781697,3,0.43166417766551507,3
ssp5_2060,ssp5,2060,Hydrogeology_to_RISK,-0.7375321908320445,0.912775160268196,56,0.3434809006676174,29
ssp5_2060,ssp5,2060,Anthropogenic_to_RISK,-0.015804810919879203,0.3422804762178418,5,0.12880149610743266,5
ssp5_2060,ssp5,2060,Climate_mediated_to_RISK,-0.04371174558320124,0.18260878721896623,31,0.06871640841471008,19
ssp5_2060,ssp5,2060,Anthropogenic_mediated_to_RISK,0.03714500995843269,0.0726461068345601,22,0.02733701714472486,13
ssp5_2080,ssp5,2080,Climate_to_RISK,0.21204111673875725,1.234329983668437,3,0.49098970516677537,3
ssp5_2080,ssp5,2080,Hydrogeology_to_RISK,-0.6853717303247266,0.8187580667397448,32,0.32568420690609357,22
ssp5_2080,ssp5,2080,Anthropogenic_to_RISK,0.011146288817390104,0.2723056956411751,4,0.10831730168357334,4
ssp5_2080,ssp5,2080,Climate_mediated_to_RISK,-0.008718957004771896,0.12813064157290757,21,0.05096759113129559,15
ssp5_2080,ssp5,2080,Anthropogenic_mediated_to_RISK,0.02705575310714286,0.060438676530312256,11,0.024041195112262048,9
ssp5_2100,ssp5,2100,Climate_to_RISK,0.12007505319760278,1.2768661852841083,3,0.45412012640156313,3
ssp5_2100,ssp5,2100,Hydrogeology_to_RISK,-0.7132131396627823,0.9384363261492844,32,0.3337568399588469,22
ssp5_2100,ssp5,2100,Anthropogenic_to_RISK,0.01739129733151301,0.3244772068432502,4,0.11540099650559431,4
ssp5_2100,ssp5,2100,Climate_mediated_to_RISK,0.006620620270184145,0.17999486322670444,21,0.06401554914852392,15
ssp5_2100,ssp5,2100,Anthropogenic_mediated_to_RISK,0.029946600271425632,0.09196202969238436,11,0.03270648798547179,9
