strategy,province,n_grids,attain_rate,mean_RR,mean_cost_total_million_usd
平衡折中,Anhui,1400,0.4357142857142858,0.3649916935456934,5.421291261922651
平衡折中,Beijing,70,0.2857142857142857,0.2667113801530114,23.20951407514631
平衡折中,Chongqing,850,0.011764705882352943,0.12345025241429212,13.592593298524342
平衡折中,Fujian,1470,0.08843537414965985,0.13329750735823212,13.713153000946965
平衡折中,Gansu,4110,0.019464720194647202,0.056458489215261205,6.235278044247486
平衡折中,Guangdong,1910,0.020942408376963352,0.09142446986668856,15.803281793592207
平衡折中,Guangxi,2460,0.020325203252032527,0.08180915283989122,15.285720876858727
平衡折中,Guizhou,1680,0.15476190476190474,0.17607299468785187,20.348962707521924
平衡折中,Hainan,380,0.10526315789473682,0.24940632032673832,0.18061270217441242
平衡折中,Hebei,1740,0.48850574712643696,0.3286216469008406,21.047153155185235
平衡折中,Heilongjiang,4040,0.06188118811881188,0.11182954990485446,11.8255798250072
平衡折中,Henan,1460,0.363013698630137,0.3089596354766172,14.565220792179996
平衡折中,Hubei,1700,0.06470588235294118,0.11472788040065912,13.303636246923727
平衡折中,Hunan,2030,0.059113300492610835,0.09621266812462947,18.050590518975614
平衡折中,Inner Mongolia,10181,0.0550098231827112,0.09083541857118964,8.677865879891415
平衡折中,Jiangsu,880,0.1590909090909091,0.21139087611731167,19.73786688675065
平衡折中,Jiangxi,1790,0.14525139664804468,0.11637249379341683,10.603340428256205
平衡折中,Jilin,1760,0.47727272727272724,0.346350423415155,23.953268397176572
平衡折中,Liaoning,1230,0.3333333333333334,0.2839047520466577,20.72507427304713
平衡折中,Ningxia,450,0.022222222222222216,0.06593375085626665,9.296958502757118
平衡折中,Qinghai,6940,0.007204610951008645,0.021628849900136877,2.7890205189626642
平衡折中,Shaanxi,2000,0.16999999999999998,0.1797350726762455,18.929145261577652
平衡折中,Shandong,1380,0.26086956521739135,0.21270119466411658,14.069894103489371
平衡折中,Shanghai,40,0.0,0.11324520231588896,2.902008882213435
平衡折中,Shanxi,1630,0.23312883435582818,0.19379235343300236,21.00818112203285
平衡折中,Sichuan,5020,0.007968127490039842,0.061025737759168495,5.64392361010998
平衡折中,Tianjin,110,0.2727272727272727,0.2746158394900345,9.355074549982277
平衡折中,Tibet,11821,0.0,0.0036181591967579998,2.5131746118650646
平衡折中,Xinjiang,15741,0.006353240152477763,0.031096104740233055,8.512242780561142
平衡折中,Yunnan,3700,0.0027027027027027024,0.04377242599327137,10.414238827392651
平衡折中,Zhejiang,920,0.07608695652173914,0.12382008562462272,25.013523070642268
性价比优先,Anhui,1400,0.4214285714285715,0.36150742260434454,3.560203334940695
性价比优先,Beijing,70,0.2857142857142857,0.30174417700722117,19.777023540249676
性价比优先,Chongqing,850,0.023529411764705885,0.13132365439834848,9.7417882424577
性价比优先,Fujian,1470,0.08843537414965985,0.13935161512360783,10.64399239382199
性价比优先,Gansu,4110,0.021897810218978103,0.06123162758809042,7.494597294004266
性价比优先,Guangdong,1910,0.010471204188481676,0.08906160311306045,8.453570350627707
性价比优先,Guangxi,2460,0.020325203252032523,0.08694837931371789,12.00789970886497
性价比优先,Guizhou,1680,0.10119047619047619,0.16018686078036165,14.918680945630907
性价比优先,Hainan,380,0.10526315789473682,0.2486593183556955,0.17053290980958774
性价比优先,Hebei,1740,0.4137931034482759,0.2960397726579218,11.982124153283872
性价比优先,Heilongjiang,4040,0.10396039603960396,0.1572411100726022,12.824610094575199
性价比优先,Henan,1460,0.34246575342465757,0.3124585296313805,10.539284287883625
性价比优先,Hubei,1700,0.058823529411764705,0.12976064778554464,11.689188022300385
性价比优先,Hunan,2030,0.034482758620689655,0.0971931034802554,14.56606119755674
性价比优先,Inner Mongolia,10181,0.06286836935166994,0.12521896084265147,9.864834625170475
性价比优先,Jiangsu,880,0.17045454545454547,0.20417476994488382,11.628434044953538
性价比优先,Jiangxi,1790,0.14525139664804468,0.11912849273225466,9.169421611926841
性价比优先,Jilin,1760,0.4431818181818182,0.33790703433833785,17.0684684896127
性价比优先,Liaoning,1230,0.26829268292682934,0.2520077121397566,11.262301117783878
性价比优先,Ningxia,450,0.0,0.11074615539535632,8.997426239693173
性价比优先,Qinghai,6940,0.007204610951008645,0.02261382259831334,2.8303603189461626
性价比优先,Shaanxi,2000,0.18499999999999997,0.20281123814755056,15.602164962009955
性价比优先,Shandong,1380,0.28260869565217395,0.22698179555522968,11.622980895841561
性价比优先,Shanghai,40,0.0,0.1116010759152651,0.25651822805331786
性价比优先,Shanxi,1630,0.25153374233128833,0.20824948441359198,15.02387501397504
性价比优先,Sichuan,5020,0.003984063745019921,0.06404706035535859,5.127580786550881
性价比优先,Tianjin,110,0.2727272727272727,0.273769108241738,7.063314825963795
性价比优先,Tibet,11821,0.0,0.005190498990576349,2.257455600367978
性价比优先,Xinjiang,15741,0.007623888182973316,0.03481301476236833,4.691201923726061
性价比优先,Yunnan,3700,0.0027027027027027024,0.04790759777739666,8.462920792524558
性价比优先,Zhejiang,920,0.07608695652173914,0.11927121154331734,14.773970137982085
极限减灾,Anhui,1400,0.4428571428571429,0.3716384985284467,18.05124925921512
极限减灾,Beijing,70,0.8571428571428572,0.5315358767433306,47.268781882293155
极限减灾,Chongqing,850,0.0823529411764706,0.19195196161067293,43.300056896670064
极限减灾,Fujian,1470,0.09523809523809525,0.18044074123501377,50.94342527049609
极限减灾,Gansu,4110,0.0413625304136253,0.07236061072853374,34.13216839525054
极限减灾,Guangdong,1910,0.0418848167539267,0.1270675037029159,53.15873331804941
极限减灾,Guangxi,2460,0.08943089430894312,0.16403521769969837,46.65025987015424
极限减灾,Guizhou,1680,0.2738095238095238,0.261352998138581,43.653732829673366
极限减灾,Hainan,380,0.18421052631578944,0.2626657857326991,21.98911755837803
极限减灾,Hebei,1740,0.6781609195402298,0.45984590988904,39.2507438493639
极限减灾,Heilongjiang,4040,0.25,0.2582477536936296,38.55646904096655
极限减灾,Henan,1460,0.39726027397260266,0.34809786971258033,27.598398220822634
极限减灾,Hubei,1700,0.11176470588235295,0.1676303594155367,45.45160307720069
极限减灾,Hunan,2030,0.12315270935960591,0.15073662573190497,40.07357144490634
极限减灾,Inner Mongolia,10181,0.14833005893909626,0.18327906674816816,35.53374793204834
极限减灾,Jiangsu,880,0.23863636363636362,0.2549753679909007,52.332228488998545
极限减灾,Jiangxi,1790,0.15083798882681562,0.14402339148271273,36.61310145821053
极限减灾,Jilin,1760,0.8238636363636364,0.5271288024405415,38.09711750888448
极限减灾,Liaoning,1230,0.4146341463414635,0.32331166125176003,41.91677966483526
极限减灾,Ningxia,450,0.04444444444444443,0.15534413598574878,43.33530117390688
极限减灾,Qinghai,6940,0.008645533141210374,0.024666357526829583,17.008235528083667
极限减灾,Shaanxi,2000,0.49000000000000005,0.3411280400026097,45.26407704916257
极限减灾,Shandong,1380,0.3913043478260871,0.26680654400441467,26.439563007072437
极限减灾,Shanghai,40,0.0,0.18691128496956783,132.11281897247179
极限减灾,Shanxi,1630,0.44171779141104295,0.32800473835112975,42.889800889536964
极限减灾,Sichuan,5020,0.035856573705179286,0.08968984369009646,34.738924996995735
极限减灾,Tianjin,110,0.36363636363636365,0.28279518883421373,26.777000908875166
极限减灾,Tibet,11821,0.0,0.006763560906122865,16.250216390603153
极限减灾,Xinjiang,15741,0.019695044472681066,0.049566120113023596,31.688284478413237
极限减灾,Yunnan,3700,0.0027027027027027024,0.06296677513104715,44.05014521471318
极限减灾,Zhejiang,920,0.09782608695652176,0.1810515468220439,64.50513759476797
达标优先,Anhui,1400,0.4428571428571429,0.3706013043557967,36.06625736897745
达标优先,Beijing,70,1.0,0.4117220114031376,51.54419668176216
达标优先,Chongqing,850,0.0823529411764706,0.18952937059345348,42.02391109630508
达标优先,Fujian,1470,0.09523809523809525,0.18004151850832933,49.88711996436557
达标优先,Gansu,4110,0.043795620437956206,0.071901270920625,33.696560842763745
达标优先,Guangdong,1910,0.04712041884816754,0.1268306007793201,53.68120167829014
达标优先,Guangxi,2460,0.09756097560975611,0.16179791620559625,45.53597398945121
达标优先,Guizhou,1680,0.30357142857142855,0.24303859115221518,40.791966582113304
达标优先,Hainan,380,0.18421052631578944,0.26105524900894245,18.63479980676236
达标优先,Hebei,1740,0.6839080459770114,0.36909753582749544,45.06215101314047
达标优先,Heilongjiang,4040,0.2524752475247525,0.22518026688277668,34.39835723237046
达标优先,Henan,1460,0.39726027397260266,0.3275170724400452,45.49100547727948
达标优先,Hubei,1700,0.11176470588235295,0.16475289193632048,44.41365003618388
达标优先,Hunan,2030,0.1330049261083744,0.14546545161625493,38.41881380862625
达标优先,Inner Mongolia,10181,0.15717092337917485,0.1747737277642187,33.72785685073102
达标优先,Jiangsu,880,0.2613636363636363,0.25472964927429503,56.70902084706199
达标优先,Jiangxi,1790,0.15083798882681562,0.14180498624862625,34.84045021325634
达标优先,Jilin,1760,0.8522727272727273,0.41113487201961585,37.418788134557744
达标优先,Liaoning,1230,0.4471544715447155,0.3020966247555546,40.857398423543295
达标优先,Ningxia,450,0.04444444444444443,0.15519292788021097,42.76717729361325
达标优先,Qinghai,6940,0.008645533141210374,0.024641668250438807,16.93881608337233
达标优先,Shaanxi,2000,0.5,0.284138363723485,38.0076156731359
达标优先,Shandong,1380,0.4275362318840581,0.260467519173182,29.225895760446413
达标优先,Shanghai,40,0.0,0.18691128496956783,132.11281897247179
达标优先,Shanxi,1630,0.44785276073619634,0.2509649578820098,36.839392505904634
达标优先,Sichuan,5020,0.035856573705179286,0.08677340886218352,34.0914611297281
达标优先,Tianjin,110,0.36363636363636365,0.285353924406691,45.940348551587576
达标优先,Tibet,11821,0.0,0.006763560906122865,16.250216390603153
达标优先,Xinjiang,15741,0.02096569250317662,0.0476056459052108,31.215954140876764
达标优先,Yunnan,3700,0.0027027027027027024,0.06296137312294492,44.04175596303719
达标优先,Zhejiang,920,0.15217391304347824,0.18109746206873276,64.61274138955707
